isolate,glucose_vv,experiment_repeat,well_id,time_s,OD,,,,,,
NCTC12156,1,1,A2,61199.9,1.075600028,,,,,,
NCTC12156,1,1,A3,61199.9,1.067499995,,,,,,
NCTC12156,1,2,A1,61199.9,1.038300037,,,,,,
NCTC12156,1,2,A2,61199.9,1.041100025,,,,,,
NCTC12156,1,2,A3,61199.9,1.02670002,,,,,,
NCTC12156,1,3,A1,61199.9,1.053500056,,,,,,
NCTC12156,1,3,A2,61199.9,1.043599963,,,,,,
NCTC12156,1,3,A3,61199.9,1.068799973,,,,,,
NCTC12156,1,1,A1,64799.9,1.038900018,,,,,,
NCTC12156,1,1,A2,64799.9,1.111700058,,,,,,
NCTC12156,1,1,A3,64799.9,1.092800021,,,,,,
NCTC12156,1,2,A1,64799.9,1.078999996,,,,,,
NCTC12156,1,2,A2,64799.9,1.075399995,,,,,,
NCTC12156,1,2,A3,64799.9,1.056800008,,,,,,
NCTC12156,1,3,A1,64799.9,1.093299985,,,,,,
NCTC12156,1,3,A2,64799.9,1.115300059,,,,,,
NCTC12156,1,3,A3,64799.9,1.101400018,,,,,,
NCTC12156,1,1,A1,68399.9,1.057399988,,,,,,
NCTC12156,1,1,A2,68399.9,1.122400045,,,,,,
NCTC12156,1,1,A3,68399.9,1.108199954,,,,,,
NCTC12156,1,2,A1,68399.9,1.069700003,,,,,,
NCTC12156,1,2,A2,68399.9,1.100999951,,,,,,
NCTC12156,1,2,A3,68399.9,1.091500044,,,,,,
NCTC12156,1,3,A1,68399.9,1.111099958,,,,,,
NCTC12156,1,3,A2,68399.9,1.144799948,,,,,,
NCTC12156,1,3,A3,68399.9,1.13409996,,,,,,
NCTC12156,1,1,A1,71999.9,1.049299955,,,,,,
NCTC12156,1,1,A2,71999.9,1.143100023,,,,,,
NCTC12156,1,1,A3,71999.9,1.141899943,,,,,,
NCTC12156,1,2,A1,71999.9,1.044199944,,,,,,
NCTC12156,1,2,A2,71999.9,1.125100017,,,,,,
NCTC12156,1,2,A3,71999.9,1.115399957,,,,,,
NCTC12156,1,3,A1,71999.9,1.116299987,,,,,,
NCTC12156,1,3,A2,71999.9,1.172700047,,,,,,
NCTC12156,1,3,A3,71999.9,1.152500033,,,,,,
NCTC12156,1,1,A1,75599.9,1.053200006,,,,,,
NCTC12156,1,1,A2,75599.9,1.150699973,,,,,,
NCTC12156,1,1,A3,75599.9,1.145799994,,,,,,
NCTC12156,1,2,A1,75599.9,1.096400023,,,,,,
NCTC12156,1,2,A2,75599.9,1.127500057,,,,,,
NCTC12156,1,2,A3,75599.9,1.115399957,,,,,,
NCTC12156,1,3,A1,75599.9,1.137199998,,,,,,
NCTC12156,1,3,A2,75599.9,1.212700009,,,,,,
NCTC12156,1,3,A3,75599.9,1.200500011,,,,,,
NCTC12156,1,1,A1,79199.9,1.058400035,,,,,,
NCTC12156,1,1,A2,79199.9,1.174600005,,,,,,
NCTC12156,1,1,A3,79199.9,1.150699973,,,,,,
NCTC12156,1,2,A1,79199.9,1.067700028,,,,,,
NCTC12156,1,2,A2,79199.9,1.145799994,,,,,,
NCTC12156,1,2,A3,79199.9,1.14260006,,,,,,
NCTC12156,1,3,A1,79199.9,1.14349997,,,,,,
NCTC12156,1,3,A2,79199.9,1.206500053,,,,,,
NCTC12156,1,3,A3,79199.9,1.197399974,,,,,,
NCTC12156,1,1,A1,82799.8,1.055500031,,,,,,
